checksum,timestamp,gps_lon,gps_lat,therm_reading,therm_voltage,therm_resistance,therm_temp,motor_speed,gps_speed,bms_faults,bms_current,bms_open_voltage,bms_summed_voltage,bms_supply_12v,bms_high_cell_volt,bms_low_cell_volt,bms_high_cell_id,bms_low_cell_id,bms_high_temp,bms_low_temp,bms_high_therm_id,bms_low_therm_id,bms_soc,bms_fan_speed,sent
84,100,50,62,26,0.0837890625,383846.1538461539,-39.36715569557899,6.24748539066152,31.6899312,Internal Communication Fault; Internal Conversion Fault; Weak Cell Fault; Low Cell Voltage Fault; Open Wiring Fault; Current Sensor Fault; Pack Voltage Sensor Fault,5.9,4.800000000000001,0.0,6.9,0.0055000000000000005,0.0055000000000000005,91,45,22,89,31,32,35.5,16,SFcoBmQAAAAAAEhCAAB4QhoAUAAAAExCRQAAADsAMAAAAEUANwBTAFstFlkfIEcQ
1,91,58,81,96,0.30937499999999996,96666.66666666667,-18.59127959557162,5.154175447295755,55.923408,Internal Communication Fault; Internal Conversion Fault; Weak Cell Fault; Low Cell Voltage Fault,0.8,3.0,0.0,3.5,0.0002,0.0002,32,43,53,98,55,94,14.0,33,SFdGdFsAAAAAAGhCAACiQmAAQgAAALRCDwAAAAgAHgAAACMAAgBHACArNWI3Xhwh
50,35,55,32,39,0.12568359375,252564.10256410256,-33.428367120134,3.982771936546719,32.3113024,Internal Communication Fault; Internal Conversion Fault; Weak Cell Fault; Low Cell Voltage Fault; Open Wiring Fault; Current Sensor Fault; Pack Voltage Sensor Fault,1.8,5.2,0.0,4.6000000000000005,0.0027,0.0027,10,58,14,89,47,88,34.0,77,SFcdNCMAAAAAAFxCAAAAQicAMwAAAFBCYQAAABIANAAAAC4AGwA7AAo6DlkvWERN
3,57,47,64,72,0.23203125,132222.22222222222,-23.62794264648906,1.874245617198456,16.1556512,Internal Communication Fault; Internal Conversion Fault; Weak Cell Fault; Low Cell Voltage Fault; Open Wiring Fault; Current Sensor Fault; Pack Voltage Sensor Fault,1.2000000000000002,7.9,0.0,9.700000000000001,0.0083,0.0083,68,70,1,96,41,95,43.0,67,SFcNezkAAAAAADxCAACAQkgAGAAAANBBXQAAAAwATwAAAGEAUwAeAERGAWApX1ZD
55,33,60,27,34,0.10957031249999999,291176.4705882353,-35.480380137118686,3.670397667013643,8.6991968,Internal Communication Fault; Internal Conversion Fault; Weak Cell Fault; Low Cell Voltage Fault; Open Wiring Fault; Current Sensor Fault; Pack Voltage Sensor Fault,8.0,4.6000000000000005,0.0,7.7,0.0011,0.0011,35,64,47,63,30,75,20.5,75,SFfkPSEAAAAAAHBCAADYQSIALwAAAGBBQgAAAFAALgAAAE0ACwBBACNALz8eSylL
10,90,33,50,28,0.09023437499999999,355714.28571428574,-38.309233997406494,4.997988312529216,3.106856,Internal Communication Fault; Internal Conversion Fault; Weak Cell Fault; Low Cell Voltage Fault; Open Wiring Fault; Current Sensor Fault; Pack Voltage Sensor Fault,1.9000000000000001,0.2,0.0,1.3,0.0006000000000000001,0.0006000000000000001,92,29,11,16,69,97,29.5,35,SFfMD1oAAAAAAARCAABIQhwAQAAAAKBATAAAABMAAgAAAA0ABgBZAFwdCxBFYTsj
71,52,7,78,73,0.23525390624999998,130273.97260273973,-23.393742164848476,2.34280702149807,8.6991968,Internal Communication Fault; Internal Conversion Fault; Weak Cell Fault; Low Cell Voltage Fault; Open Wiring Fault; Current Sensor Fault; Pack Voltage Sensor Fault,2.8000000000000003,4.9,0.0,2.2,0.0066,0.0066,98,50,7,15,38,51,38.0,24,SFc4VTQAAAAAAOBAAACcQkkAHgAAAGBBUQAAABwAMQAAABYAQgBgAGIyBw8mM0wY
11,48,8,55,42,0.1353515625,233809.52380952382,-32.300550558073894,3.748491234396912,20.5052496,Internal Communication Fault; Internal Conversion Fault; Weak Cell Fault; Low Cell Voltage Fault; Open Wiring Fault; Current Sensor Fault,7.800000000000001,8.200000000000001,0.0,3.5,0.0095,0.0095,11,33,46,95,34,64,26.5,40,SFcgVzAAAAAAAABBAABcQioAMAAAAARCKQAAAE4AUgAAACMAXwApAAshLl8iQDUo
53,25,86,90,44,0.141796875,222727.27272727274,-31.585314292714088,7.184608199260748,55.3020368,Internal Communication Fault; Internal Conversion Fault; Weak Cell Fault; Low Cell Voltage Fault,5.7,3.3000000000000003,0.0,5.300000000000001,0.0083,0.0083,36,99,68,21,80,67,3.0,95,SFfSKBkAAAAAAKxCAAC0QiwAXAAAALJCCQAAADkAIQAAADUAUwBQACRjRBVQQwZf
13,51,16,23,96,0.30937499999999996,96666.66666666667,-18.59127959557162,1.171403510749035,21.1266208,Internal Communication Fault; Internal Conversion Fault; Weak Cell Fault; Low Cell Voltage Fault; Open Wiring Fault; Current Sensor Fault,2.1,4.1000000000000005,0.0,6.1000000000000005,0.0035,0.0035,57,83,82,57,23,20,44.0,88,SFcOZDMAAAAAAIBBAAC4QWAADwAAAAhCPwAAABUAKQAAAD0AIwBbADlTUjkXFFhY
78,34,4,23,20,0.064453125,502000.0,-43.02225795749888,7.418888901410555,60.2730064,Internal Communication Fault; Internal Conversion Fault; Weak Cell Fault,1.7000000000000002,5.6000000000000005,0.0,1.3,0.009600000000000001,0.009600000000000001,6,44,41,39,50,66,18.5,64,SFfuSiIAAAAAAIBAAAC4QRQAXwAAAMJCBAAAABEAOAAAAA0AYAAFAAYsKScyQiVA
